Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Approval),Outward issue link (Approval),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Activation Date),Custom field (Actual results),Custom field (Affected services),Custom field (Approvals),Custom field (Bug Template),Custom field (Category),Custom field (Content type),Custom field (Customers),Custom field (Development),Custom field (Due date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected results),Custom field (Focus Areas),Custom field (Goals),Custom field (Handover Points),Custom field (Issue color),Custom field (Location),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Publication date),Custom field (Quality Level),Custom field (Rank),Custom field (Release End Date),Custom field (Release Risk),Custom field (Release Start Date),Custom field (Release State),Custom field (Release Status),Custom field (Release notes),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (SURE Jira link),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (StackState Team),Custom field (Start date),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target Fix Date),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Template),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Adding scenarios for Metric Inspector,STAC-24084,49991,Sub-task,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,15/Dec/25 2:13 PM,09/Jan/26 12:07 PM,,09/Jan/26 12:07 PM,,,0,,,,,daniel.barra,,,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@700ba92e,,,,,"{repository={count=11, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":11,""lastUpdated"":""2026-01-09T12:02:30.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":11,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vov:,,,,,,,,,,,,,,Marvin - Spacks2 & AgentBump 2,Marvin - AgentBump 3,,,,,,,Marvin,,,,,,,,,,,,,,10107_*:*_1_*:*_1826746585_*|*_3_*:*_1_*:*_268892980_*|*_10400_*:*_1_*:*_56789185_*|*_10401_*:*_1_*:*_0,,,,49983,STAC-24080,[QA] Add scenarios to validate UI by playwright,Done,09/Jan/26 12:07 PM
[QA] Add scenarios to validate UI by playwright,STAC-24080,49983,User Story,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,15/Dec/25 2:11 PM,06/Jan/26 12:07 PM,,,,,0,,,"*Summary:*
[QA] Add Test Scenarios for Component List, Monitors, Metric Inspector, Metrics Query, and Metric Explorer

*Description:*
We need to create and document comprehensive test scenarios for the following components to ensure proper test coverage and functionality validation:

# *Component List*
# *Monitors*
# *Metric Inspector*
# *Metrics Query*
# *Metric Explorer*

*Scope of Work:*

* Review existing documentation and user stories related to each component.
* Write test scenarios covering:
** Functional flows
** UI/UX validation
** Error handling and edge cases
** Integration points with other modules
* Ensure scenarios are clear, repeatable, and include preconditions, steps, and expected results.
* Store scenarios in [specified test management tool/confluence page].

*Acceptance Criteria:*

* Test scenarios documented for all 5 components.
* Each scenario includes:
** Unique ID and title
** Preconditions
** Step-by-step test steps
** Expected results
** Priority (Critical/High/Medium/Low)",,daniel.barra,,,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@550632a9,,,,,{},,,,,,,,,,,,,,,,A,1|i02vnz:,,,,,,,,,,,,,,Marvin - Spacks2 & AgentBump 2,Marvin - AgentBump 3,,,,,,,Marvin,,,13.0,,,,,,,,,,,,,,,39750,STAC-22482,QA,In Progress,16/Dec/25 12:07 PM
Handle restore operations running in parallel,STAC-24078,49981,User Story,In Review,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,15/Dec/25 1:49 PM,13/Jan/26 8:56 AM,,,,,0,,,"As of now it is possible to run restore operations in parallel even for the same type of the datastore. The restore and check-and-finalize commands can potentially scale up the deployments/statefulsets downscaled by the other types of restore operations.

AC.

* Prevent parallel restore operations for the same data store.
* -Ensure that multiple restore operations for different data stores do not scale up overlapping deployments/statefulsets.- → At the moment there is nothing that overlaps and we are not sure this will happen in the future.
* Stackgraph and settings restore should be mutually exclusive and not run in parallel.
** We can add an annotation when a restore is in progress",,Vladimir Iliakov,,,61b198bc744c4d006987cf03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@d1fc2f7,,,,,{},,,,,,,,,,,,,,,,A,1|i02nkf:oaz2,,,,,,,,,,,,,,Dashboards release?,Wrapping up dashboarding,,,,,,,Borg,,,5.0,,,,,,,,,,,,,,,46449,STAC-23374,Single command restore of backup data,In Progress,30/Dec/25 11:09 AM
Reuse generated OpenAPI model in DTOs objects,STAC-24071,49940,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,12/Dec/25 12:34 PM,13/Jan/26 5:20 PM,,13/Jan/26 5:20 PM,,,0,,,,,Lukasz Marchewka,Release StackState,,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b8c25d2,,,,,"{repository={count=14, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":14,""lastUpdated"":""2026-01-07T09:01:05.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":14,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6ge:zr,,,,,,,,,,,,,,Dashboards release?,Stackpacks 2 - 1,,,,,,,Borg,,,,,,,,,,,,,2025-12-31 07:55:53.385,10107_*:*_1_*:*_345249612_*|*_3_*:*_1_*:*_590365553_*|*_10400_*:*_1_*:*_1298007101_*|*_10401_*:*_1_*:*_0,,31/Dec/25 8:55 AM;5f0c19c95ee2c3002363e486;[Lukasz Marchewka|https://gitlab.com/lukasz.marchewka_stackstate] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9416] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24071-use-generated-api|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24071-use-generated-api]:{quote}STAC-24071 Delete Otel*Mapping DTO and use generated API model{quote},,46811,STAC-23427,Create OTel Mapping API,Done,13/Jan/26 5:20 PM
Generate OpenAPI code to another sbt module,STAC-24070,49938,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,12/Dec/25 12:31 PM,13/Jan/26 1:21 PM,,13/Jan/26 1:21 PM,,,0,,,,,Lukasz Marchewka,Release StackState,,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@c330fd9,,,,,"{repository={count=11, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":11,""lastUpdated"":""2025-12-18T13:26:01.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":11,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6ge:zi,,,,,,,,,,,,,,Dashboards release?,Stackpacks 2 - 1,,,,,,,Borg,,,,,,,,,,,,,2025-12-12 12:06:00.194,10107_*:*_1_*:*_169555_*|*_3_*:*_1_*:*_345232907_*|*_10400_*:*_1_*:*_590362826_*|*_10401_*:*_1_*:*_0,,12/Dec/25 1:06 PM;5f0c19c95ee2c3002363e486;[Lukasz Marchewka|https://gitlab.com/lukasz.marchewka_stackstate] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9390] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24070-stackstate-api-generated|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24070-stackstate-api-generated]:{quote}STAC-24070 Create `stackstate-api-ganerated` model and move generated OpenAPI code there{quote},,46811,STAC-23427,Create OTel Mapping API,Done,13/Jan/26 1:21 PM
Document monitors and metrics binding DTOs for stackpacks 2.0,STAC-24067,49934,User Story,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Frank van Lankvelt,5ffe1a6c9edf280075d1b224,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,11/Dec/25 2:39 PM,09/Jan/26 11:44 AM,,,,,0,,,"Currently we do not document how to create monitors or metric bindings for stackpacks. Being the first concepts that internal teams can work with, we want those documented as part of the feature-flagged stackpacks 2.0 effort.

Acceptance criteria*)

* Create an (copy-pastable) example+tutorial and explanation which works with our out-of-the-box-data (there is already an example in the stackpacks 2 template) – tutorial
* Document the relevant fields for those concepts – reference (schema + interpretation)
* We also document related Layout concepts (MetricPerspectiveSection etc.)
* 5.1 might include some reference docs on these already, we also have UI docs for monitors

Open questions:

* Do we document all metricbinding feature and placements?
** Yes, we document everything, including the layout section, priority etc.
* Do we bring this documentation live, or should we keep it under the stackpacks2 documentation feature flag
** We keep this feature flagged, netlifying is another stories

Note:

* Update the {{setup/custom-integrations/develop.adoc}} links in the docs repo where we recommend the user how to customize/develop their own monitors/metric bindings",,Bram Schuur,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4f8ce53f,,,,,{},,,,,,,,,,,,,,,,A,1|hzz6ge:,,,,,,,,,,,,,,Stackpacks 2 - 1,,,,,,,,,,,5.0,,,,,,,,,,,,,,,49945,STAC-24075,Document Stackpacks 2.0,In Progress,07/Jan/26 5:13 PM
Create preview docs feature flag for stackpacks 2.0 to be consumed by internal engineering teams,STAC-24066,49933,Technical Debt,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Alejandro Acevedo Osorio,5ae88e681864357363fa4192,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,11/Dec/25 2:29 PM,09/Jan/26 11:33 AM,,09/Jan/26 11:33 AM,,,0,,,"* Use {{ss-ff-stackpacks2_enabled}} as documentation feature flag

* Document how to run with the feature flags enabled
* Explain a saas instance can be requested by internal teams with the SUSE Observability team which has the feature flag enabled and will be updated automatically. Point them to a channel we still need to make (we make it separate to avoid releasing it outright). This option is recommended by us and should be listed first
* Clearly qualify this as pre-production and unreleased
* There should be an entirely new top-level “custom integrations” section (name to be determined) that covers everything related to stackpacks (but only stackpacks 2).",,Bram Schuur,Release StackState,,5a3a740aea5fc812d8afd681,5f0c19c95ee2c3002363e486,,,,,,,,,,,,STAC-24069,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@11bd6add,,,,,"{repository={count=4, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":4,""lastUpdated"":""2026-01-07T09:27:01.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":4,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6g8:,,,,,,,,,,,,,,Stackpacks 2 - 1,,,,,,,,Borg,,,2.0,,,,,,,,,,2026-01-06 14:44:23.082,10107_*:*_1_*:*_2237187389_*|*_3_*:*_1_*:*_73661262_*|*_10004_*:*_1_*:*_4581680_*|*_10400_*:*_1_*:*_0,,06/Jan/26 3:44 PM;5f0c19c95ee2c3002363e486;[Alejandro Acevedo Osorio|https://gitlab.com/aacevedoosorio] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9421] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [stac-24066|https://gitlab.com/stackvista/stackstate/-/tree/stac-24066]:{quote}STAC-24066: TopoStreamSync is behing the experimentalStackpacks FF on the helm chart{quote},,49945,STAC-24075,Document Stackpacks 2.0,Done,09/Jan/26 11:33 AM
Document stackpack cli in documentation,STAC-24065,49932,Technical Debt,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Alejandro Acevedo Osorio,5ae88e681864357363fa4192,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,11/Dec/25 2:28 PM,09/Jan/26 11:55 AM,,09/Jan/26 11:55 AM,,,0,,,"Other SUSE teams are in dire need of supporting their product in SUSE Observability, but we won’t have anything released yet (for a while). To facilitate these teams we want to give them documentation and access to all the features that are already done. That means they can (at the time of writing) work with:

* stackpacks2 and the cli commands for that 
* we should document this as part of the integration section for describing the integration flow
* Goal of this documentaiton: I am a developer and want to get started integrating my technology, what steps do i take?
**  How do i deploy my stackpacks? How do i assure quality?
** Also link to component mapping and metric ingestion to get the data in for this tutorial.
* tutorial style (diataxis)
* the CLI PR for stackpacks2 CLI contains some relevant docs already that might be used.

Therefore we already want to write the documentation for the stackpacks CLI commands. Put it under a feature flag in the docs, including how to enable the feature flag of the cli (this will be removed later).

Excluded:

* OTEL Mappings/monitors/metricsbindings are excluded
* No need to write a full reference on all stackpacks fields.",,Bram Schuur,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@63dcddec,,,,,{},,,,,,,,,,,,,,,,A,1|hzz6gc:,,,,,,,,,,,,,,Stackpacks 2 - 1,,,,,,,,Borg,,,3.0,,,,,,,,,,,10107_*:*_1_*:*_2402126124_*|*_3_*:*_1_*:*_21506488_*|*_10400_*:*_1_*:*_72818564_*|*_10401_*:*_1_*:*_0,,,,49945,STAC-24075,Document Stackpacks 2.0,Done,09/Jan/26 11:55 AM
Work out first version of documentation for ComponentPresentation,STAC-24064,49931,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Deon Taljaard,712020:27cbf957-6036-4080-9f6b-fdb179fd6007,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,11/Dec/25 2:26 PM,09/Jan/26 11:32 AM,,09/Jan/26 11:32 AM,,,0,,,"For feedback we want to work out a first version of the documentation of ComponentPresentation as part of the stackpacks 2.0 model. We will make clear this can change, and will change it when necessary.

The goal is to write down what a user can configure and explain that. We will share this internally in SUSE on the stackpacks 2.0 feature docs

Acceptance criteria*)

* Document high-level concepts and pseudo-code example of ComponentPresentation. Do not include details about perspectives yet.
* All under the stackpacks 2.0 feature flag
* List that this is under development",,Bram Schuur,Deon Taljaard,,5a3a740aea5fc812d8afd681,712020:27cbf957-6036-4080-9f6b-fdb179fd6007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@78708d4f,,,,,{},,,,,,,,,,,,,,,,A,1|hzz6ge:i,,,,,,,,,,,,,,Stackpacks 2 - 1,,,,,,,,,,,3.0,,,,,,,,,,2026-01-08 14:45:24.739,10107_*:*_1_*:*_2404347530_*|*_3_*:*_1_*:*_88512840_*|*_10400_*:*_1_*:*_1938978_*|*_10401_*:*_1_*:*_0,,08/Jan/26 3:45 PM;712020:27cbf957-6036-4080-9f6b-fdb179fd6007;[https://github.com/rancher/stackstate-product-docs/pull/165|https://github.com/rancher/stackstate-product-docs/pull/165],,49387,STAC-23912,ComponentPresentation for OTEL,Done,09/Jan/26 11:32 AM
Rename stackpacks2 feature flag to wip-stackpacks2 to make it clear this is wip and might change,STAC-24063,49929,User Story,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Alejandro Acevedo Osorio,5ae88e681864357363fa4192,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,11/Dec/25 11:11 AM,06/Jan/26 1:20 PM,,06/Jan/26 1:20 PM,,,0,,,"A customer discovered our feature flags, including the flags for features that are actively developed. We want to more clearly demark the feature as being under development, to not create the impression that they can turn it on/off at will.

Acceptance criteria*)

* Rename the stackpacks2 feature flag in helm to {{experimentalStackpacks}}
* Add a comment this is preproduction, usage may break your entire installation with consecutive releases. No backwards compatibility.
* Make sure relevant instances are updated",,Bram Schuur,Release StackState,,5a3a740aea5fc812d8afd681,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e6a658d,,,,,"{repository={count=5, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":5,""lastUpdated"":""2026-01-06T11:54:46.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":5,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6g0:,,,,,,,,,,,,,,Stackpacks 2 - 1,,,,,,,,,,,2.0,,,,,,,,,,2026-01-06 09:22:20.06,10107_*:*_1_*:*_2242465457_*|*_3_*:*_1_*:*_5960155_*|*_10400_*:*_1_*:*_554363_*|*_10401_*:*_1_*:*_0,,06/Jan/26 10:22 AM;5f0c19c95ee2c3002363e486;[Alejandro Acevedo Osorio|https://gitlab.com/aacevedoosorio] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9419] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [stac-24063|https://gitlab.com/stackvista/stackstate/-/tree/stac-24063]:{quote}STAC-24063: Update helm chart feature flag name for stackpacks 2.0{quote},,49387,STAC-23912,ComponentPresentation for OTEL,Done,06/Jan/26 1:20 PM
OpenAPI spec for otel mappings,STAC-24059,49891,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,Lukasz Marchewka,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,10/Dec/25 3:09 PM,13/Jan/26 1:21 PM,,13/Jan/26 1:21 PM,,,0,,,,,Lukasz Marchewka,,,712020:53754a01-8a5d-46de-87ad-b4fe8696d28b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@60d93d34,,,,,"{repository={count=11, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":11,""lastUpdated"":""2025-12-23T15:12:58.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":11,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6ge:z,,,,,,,,,,,,,,Dashboards release?,Stackpacks 2 - 1,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_66114960_*|*_3_*:*_1_*:*_1555279390_*|*_10400_*:*_1_*:*_605970770_*|*_10401_*:*_1_*:*_0,,,,46811,STAC-23427,Create OTel Mapping API,Done,13/Jan/26 1:21 PM
[Dashboards] Drag on timeseries or bar chart to select time range,STAC-24048,49841,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,09/Dec/25 2:44 PM,09/Jan/26 9:34 AM,,09/Jan/26 9:34 AM,,,0,,,"Just like on the other charts in StackState it should be possible to drag the mouse over the timeseries and bar chart widgets to update the selected time range.

*Acceptance criteria*

* Dragging over a chart should select a time range in the same way it does on charts in the metrics perspective
* The timerange of the entire dashboard gets updated (just the same as when you would update it via the time range control on the dashboard).",,Release StackState,Remco Beckers,,5f0c19c95ee2c3002363e486,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@11f275dc,,,,,"{repository={count=2, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":2,""lastUpdated"":""2026-01-08T10:20:27.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":2,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vwk:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,2.0,,,,,,,,,,2026-01-07 12:05:05.244,10107_*:*_1_*:*_2491872762_*|*_3_*:*_1_*:*_8286435_*|*_10400_*:*_1_*:*_75996469_*|*_10401_*:*_1_*:*_0,,07/Jan/26 1:05 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9423] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24048-dashboard-zoom-on-brush|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24048-dashboard-zoom-on-brush]:{quote}STAC-24048 Enable zoom on brush for dashboard widgets{quote},,38662,STAC-22375,Dashboards as 1st class citizen,Done,09/Jan/26 9:34 AM
Dashboards UI loads .js values from cdn,STAC-24036,49790,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,High,Done,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,05/Dec/25 8:31 AM,07/Jan/26 9:38 AM,,07/Jan/26 9:38 AM,suse-observability/2.6.2,,0,,,"_Actual behavior_:
The editor in the dashboards UI loads some javascript (all?) from a CDN instead of our own server.

There's a JS ([https://cdn.jsdelivr.net/npm/monaco-editor@0.52.2/min/vs/loader.js)|https://cdn.jsdelivr.net/npm/monaco-editor@0.52.2/min/vs/loader.js)] dependency that's trying to be downloaded. I have attached 2 screenshots showing the error. After slack thread ([https://suse.slack.com/archives/C07CF9770R3/p1764838199507889)|https://suse.slack.com/archives/C07CF9770R3/p1764838199507889)] discussion we agreed to treat the issue as a bug 

This is not what we want and is a problem in some air-gapped environments.

_Expected behavior_:
All dependencies are downloaded from stackstate server itself

_Steps to reproduce_:
Open the edit widget UI

_Technical note_:",,Release StackState,Remco Beckers,,5f0c19c95ee2c3002363e486,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a99142a,,,,,"{repository={count=22, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":22,""lastUpdated"":""2026-01-06T10:19:09.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":22,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vpn:,,,,,,,,,,https://jira.suse.com/browse/SURE-11036,,,,Dashboards release?,Wrapping up dashboarding,,,,,,,Borg,,,2.0,,,,,,,,,,2025-12-18 13:53:42.566,10107_*:*_1_*:*_1127476639_*|*_3_*:*_2_*:*_32730196_*|*_10400_*:*_2_*:*_1611043786_*|*_10401_*:*_1_*:*_0,,18/Dec/25 2:53 PM;5f0c19c95ee2c3002363e486;[Sam Jones|https://gitlab.com/sdjnes] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9403] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24036-load-monaco-locally|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24036-load-monaco-locally]:{quote}Draft: STAC-24036 Configure Monaco to load modules from local node_modules{quote},,38662,STAC-22375,Dashboards as 1st class citizen,Done,07/Jan/26 9:38 AM
