Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Approval),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Activation Date),Custom field (Actual results),Custom field (Affected services),Custom field (Approvals),Custom field (Bug Template),Custom field (Category),Custom field (Content type),Custom field (Customers),Custom field (Development),Custom field (Due date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected results),Custom field (Focus Areas),Custom field (Goals),Custom field (Handover Points),Custom field (Issue color),Custom field (Location),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Publication date),Custom field (Quality Level),Custom field (Rank),Custom field (Release End Date),Custom field (Release Risk),Custom field (Release Start Date),Custom field (Release State),Custom field (Release Status),Custom field (Release notes),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (SURE Jira link),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (StackState Team),Custom field (Start date),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target Fix Date),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Template),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
CLI Settings should use persistent volume as a backup source if global.backup.enabled is false,STAC-24013,49629,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,01/Dec/25 8:39 AM,19/Dec/25 9:33 AM,,19/Dec/25 9:33 AM,,,,0,,,"settings list/restore subcommands does not support backups stored to a persistent volume.

AC:

* settings subcommands should follow the same logic as scrtipts:
** if global.backup.enabled=true they should use Minio as a backup source.
** if global.backup.enabled=false they should use a persistent volume as a backup source.",,Vladimir Iliakov,,,,61b198bc744c4d006987cf03,,,,,,,,,,,,,,,,,STAC-23602,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1c71f337,"*Actual behavior*:


*Expected behavior*:


*Steps to reproduce*:


*Technical note*:

",,,,{},,,,,,,,,,,,,,,,A,1|i02vbb:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_1226086752_*|*_3_*:*_1_*:*_250904448_*|*_10400_*:*_1_*:*_4359259_*|*_10401_*:*_1_*:*_0,,,,,,46449,STAC-23374,Single command restore of backup data,Done,19/Dec/25 9:33 AM
[Dashboards] Quick selection for only my dashboards or only shared dashboards,STAC-24001,49547,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,Done,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,27/Nov/25 9:24 AM,07/Jan/26 9:38 AM,,07/Jan/26 9:38 AM,,,,0,,,"In the dashboard overview, I want to quickly select only my own dashboards (public or private) or the dashboards that are shared with me. 

*Acceptance criteria*

* Add a quick filter (like the {{All dashboards}} and {{Starred dashboards}} filters) to select {{My dashboards}}
* Add a quick filter for {{Shared with me}}
* Re-order the filters and select “My dashboards” by default: {{My Dashboards | Starred | Shared with me | All}} → To view only starred dashboards a user can open the main menu already
* Each filter includes the word {{dashboard}}. That makes the text very long and feels rather redundant. Only for {{My dashboards}} it feels like it is required. What do you think?",,Release StackState,Remco Beckers,,,5f0c19c95ee2c3002363e486,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7ea46c26,,,,,"{repository={count=5, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":5,""lastUpdated"":""2026-01-06T11:10:13.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":5,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vsl:i,,,,,,,,,,,,,,Dashboards release?,Wrapping up dashboarding,,,,,,,Borg,,,3.0,,,,,,,,,,2025-12-23 12:18:02.257,10107_*:*_1_*:*_2189693377_*|*_3_*:*_1_*:*_1186722101_*|*_10400_*:*_1_*:*_166331510_*|*_10401_*:*_1_*:*_0,,23/Dec/25 1:18 PM;5f0c19c95ee2c3002363e486;[Sam Jones|https://gitlab.com/sdjnes] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9410] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24001-dashboard-overview-tabs|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24001-dashboard-overview-tabs]:{quote}STAC-24001 Add new filter tabs to dashboards overview page{quote},,,,38662,STAC-22375,Dashboards as 1st class citizen,Done,07/Jan/26 9:38 AM
Kubernetes rbac agent does not adhere to helm provided resources,STAC-24000,49545,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,High,Done,Alessio Biancalana,712020:24a58295-5746-444b-b60d-728653ec1dd2,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,27/Nov/25 9:17 AM,05/Jan/26 12:12 PM,,28/Nov/25 12:05 PM,,,,0,,,"Slack discussion here [https://suse.slack.com/archives/C07CF9770R3/p1764086859782519|https://suse.slack.com/archives/C07CF9770R3/p1764086859782519|smart-link] . The fix was pretty much provided, we only need to implement.",,Bram Schuur,,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAC-24134,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6996a67e,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=4}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":4,""lastUpdated"":""2025-11-28T09:14:28.997+0100"",""stateCount"":4,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitLab"":{""count"":4,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02v93:,,,,,,[Agent] Fix issue where the kubernetes rbac agent would not use the defined resources from the values file,,,,https://jira.suse.com/browse/SURE-11004,,,,Marvin - Spacks2 & AgentBump,,,,,,,,Marvin,,,,,,,,,,,,,,10107_*:*_1_*:*_342512_*|*_3_*:*_1_*:*_28119044_*|*_10400_*:*_1_*:*_4816_*|*_10401_*:*_1_*:*_0,,,,,,,,,Done,28/Nov/25 12:05 PM
Avoid logging credentials in splunk debug logging,STAC-23997,49509,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,26/Nov/25 1:42 PM,05/Jan/26 12:12 PM,,27/Nov/25 12:10 PM,,,,0,,,see image,,Bram Schuur,,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAC-24134,26/Nov/25 1:45 PM;bschuur;logs.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/26296,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@34582684,,,,RaboBank,"{repository={count=2, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":2,""lastUpdated"":""2025-11-27T11:47:45.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":2,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02v8f:,,,,,,[agent] avoid logging credentials from the splunk integration when debugging is enabled,,,,,,,,Marvin - Spacks2 & AgentBump,,,,,,,,Marvin,,,,,,,,,,,,,,10107_*:*_1_*:*_70791470_*|*_3_*:*_1_*:*_1971578_*|*_10400_*:*_1_*:*_8048244_*|*_10401_*:*_1_*:*_0,,,,,,,,,Done,27/Nov/25 12:10 PM
ArgoCD cli fails with 504,STAC-23996,49508,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,High,Done,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,26/Nov/25 1:10 PM,23/Dec/25 9:37 AM,,23/Dec/25 9:37 AM,,,,0,,,"Recently ArgoCD cli fails with 504

[https://gitlab.com/stackvista/devops/saas-tenants/-/jobs/12225911131|https://gitlab.com/stackvista/devops/saas-tenants/-/jobs/12225911131]

[https://gitlab.com/stackvista/devops/saas-tenants/-/jobs/12225911150|https://gitlab.com/stackvista/devops/saas-tenants/-/jobs/12225911150]

[https://gitlab.com/stackvista/devops/saas-tenants/-/jobs/12225911153|https://gitlab.com/stackvista/devops/saas-tenants/-/jobs/12225911153]

[https://gitlab.com/stackvista/devops/saas-tenants/-/jobs/12225911157|https://gitlab.com/stackvista/devops/saas-tenants/-/jobs/12225911157]",,Vladimir Iliakov,,,,61b198bc744c4d006987cf03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5eb5c4fe,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-12-22T10:07:46.286+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitLab"":{""count"":1,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02v87:,,,,,,,,,,,,,,Prepare dashboards release,Dashboards release?,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_20003_*|*_3_*:*_1_*:*_6086690_*|*_10004_*:*_1_*:*_2231331161_*|*_10400_*:*_1_*:*_3305_*|*_10401_*:*_1_*:*_0,,,,,,,,,Done,23/Dec/25 9:37 AM
Pods go oom on a node when the pod memory limit is not detected,STAC-23993,49505,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Critical,Done,Frank van Lankvelt,5ffe1a6c9edf280075d1b224,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,26/Nov/25 10:32 AM,05/Jan/26 12:12 PM,,15/Dec/25 12:08 PM,,,,0,,,"Description in the SURE ticket [https://jira.suse.com/browse/SURE-11003|https://jira.suse.com/browse/SURE-11003], this is under investigation.

Slack: [https://suse.slack.com/archives/C07CF9770R3/p1763992618905069|https://suse.slack.com/archives/C07CF9770R3/p1763992618905069|smart-link] 

[https://suse.slack.com/archives/C07B56FCWJE/p1764147459681189|https://suse.slack.com/archives/C07B56FCWJE/p1764147459681189|smart-link] 

I reproduced this on SLES 16, here is the analysis:



okey, i reproduced the issue using SLES 16, k3s and our latest master. For tephra it is clera it cannot find the mem limit:

{noformat}nobody@bram-instance-hbase-tephra-mono-0:/> java -Xlog:os+container=trace --version
[0.000s][trace][os,container] OSContainer::init: Initializing Container Support
[0.000s][debug][os,container] Detected optional pids controller entry in /proc/cgroups
[0.000s][debug][os,container] controller cpuset is not enabled

[0.000s][debug][os,container] controller cpuacct is not enabled

[0.000s][debug][os,container] controller memory is not enabled

[0.000s][debug][os,container] One or more required controllers disabled at kernel level.
openjdk 21.0.9 2025-10-21
OpenJDK Runtime Environment (build 21.0.9+10-suse-1500-x8664)
OpenJDK 64-Bit Server VM (build 21.0.9+10-suse-1500-x8664, mixed mode, sharing)
nobody@bram-instance-hbase-tephra-mono-0:/> {noformat}

This stackoverflow post confirms the issue combining java 21, kernel 6.12 and cgroupsv2: [https://stackoverflow.com/a/79634679|https://stackoverflow.com/a/79634679|smart-link] The issue for this exact combination is fixed in jvm 25: [https://bugs.openjdk.org/browse/JDK-8347811|https://bugs.openjdk.org/browse/JDK-8347811]
The backport for this particular issue is done in JVM 21.0.10: [https://bugs.openjdk.org/browse/JDK-8371005|https://bugs.openjdk.org/browse/JDK-8371005]I am not sure what to recommend to the user here. We will do another round of bumping JVM versions and verifying on my reproduction, but that will take some time to release.The stackoverflow recommmends recompiling the kernel, which is not great, downgrading SLES might be an option if the customer want to get started quickly. Otherwise i don't immediately see an option but to wait

!https://slack-imgs.com/?c=1&o1=wi32.he32.si&url=https%3A%2F%2Fstackoverflow.com%2FContent%2FSites%2Fstackoverflow%2FImg%2Fapple-touch-icon.png%3Fv%3Dc78bd457575a|width=250,alt=""Stack Overflow""!

Stack Overflow

[*Docker Container JVM not picking up cgroups memory limit*|https://stackoverflow.com/a/79634679]

OS: CachyOS (Arch-based Linux Distro)
Docker Version: 28.1.1
Cgroup Driver: systemd
Cgroup Version: 2
Why isn't the JVM running inside the container picking the memory limits as I would expect? If ...



hmm, 21.0.10 will be released in januari according to [https://www.java.com/releases/|https://www.java.com/releases/|smart-link] 

and 25.0 is not on the bci images yet, which we use as base, we also do not want to upgrade to 25.0 on a whim (this is a more structured effort).

For now the idea is:

* Hardcode Xmx for all services that derive their memory from cgroups.",,Bram Schuur,,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAC-24134,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3cd28607,,,,,"{repository={count=4, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":4,""lastUpdated"":""2025-12-12T12:32:02.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":4,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02v7j:,,,,,,"[Platform] Fix issue where several pod (hbase, tephra) go OOM on SLES 16 due to cgroups v2",,,,https://jira.suse.com/browse/SURE-11003,,,,Marvin - Spacks2 & AgentBump,Marvin - Spacks2 & AgentBump 2,,,,,,,Marvin,,,,,,,,,,,,,,10107_*:*_1_*:*_7721_*|*_10007_*:*_2_*:*_196915960_*|*_3_*:*_3_*:*_1190027884_*|*_10400_*:*_1_*:*_7375058_*|*_10401_*:*_1_*:*_0,,,,,,,,,Done,15/Dec/25 12:08 PM
[Dashboards] Links are not saved for Markdown widget,STAC-23988,49465,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,Done,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,25/Nov/25 3:43 PM,06/Jan/26 9:40 AM,,06/Jan/26 9:40 AM,,,,0,,,,,Anton Ovechkin,Release StackState,,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2010f65a,"*Actual behavior*:


*Expected behavior*:


*Steps to reproduce*:


*Technical note*:

",,,,"{repository={count=2, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":2,""lastUpdated"":""2025-12-23T13:16:50.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":2,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vsj:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,2.0,,,,,,,,,,2025-12-22 16:31:51.314,10107_*:*_2_*:*_2310326073_*|*_3_*:*_1_*:*_28981857_*|*_10482_*:*_1_*:*_6963_*|*_10004_*:*_1_*:*_3758_*|*_10400_*:*_1_*:*_1184950436_*|*_10401_*:*_1_*:*_0,,22/Dec/25 5:31 PM;5f0c19c95ee2c3002363e486;[Sam Jones|https://gitlab.com/sdjnes] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9407] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-23988-markdown-widget-links|https://gitlab.com/stackvista/stackstate/-/tree/STAC-23988-markdown-widget-links]:{quote}STAC-23988 Transform links for markdown chart{quote},,,,38662,STAC-22375,Dashboards as 1st class citizen,Done,06/Jan/26 9:40 AM
Stackpack contains incorrect URL for Openshift clusterLogForwarder,STAC-23908,49349,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,21/Nov/25 12:35 PM,05/Jan/26 12:12 PM,,24/Nov/25 9:34 AM,,,,0,,,"Reported by Customer, ‘receiver/’ is duplicated.



{noformat}apiVersion: observability.openshift.io/v1
kind: ClusterLogForwarder
metadata:
  name: instance
  namespace: openshift-logging
spec:
  serviceAccount:
    name: ""logging-collector""
  outputs:
    - name: stackstate
      type: loki
      loki:
        authentication:
          username:
            secretName: suse-observability-agent-logging-secret
            key: username
          password:
            secretName: suse-observability-agent-logging-secret
            key: password
        url: ""https://aegir.prod.stackstate.io/receiver/receiver/stsAgent/logs/openshift""
  pipelines:{noformat}



[https://gitlab.com/stackvista/integrations/stackpacks/-/blob/master/stackpacks/kubernetes-v2/src/main/stackpack/resources/enabled.md?ref_type=heads&plain=1#L297|https://gitlab.com/stackvista/integrations/stackpacks/-/blob/master/stackpacks/kubernetes-v2/src/main/stackpack/resources/enabled.md?ref_type=heads&plain=1#L297|smart-link] ",,Vladimir Iliakov,,,,61b198bc744c4d006987cf03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAC-24134,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@77a80539,,,,,"{repository={count=2, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":2,""lastUpdated"":""2025-11-21T13:51:19.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":2,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02v0f:,,,,,,- Fix the Stackpack page with the correct url used by Openshift ClusterLogForwarder.,,,,,,,,Prepare dashboards release,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_79579_*|*_3_*:*_1_*:*_339556_*|*_10400_*:*_1_*:*_207384626_*|*_10401_*:*_1_*:*_0,,,,,,,,,Done,24/Nov/25 9:34 AM
Stackpacks 2.0 configs to revisit usage,STAC-23874,49262,User Story,In Review,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Frank van Lankvelt,5ffe1a6c9edf280075d1b224,Alejandro Acevedo Osorio,5ae88e681864357363fa4192,Alejandro Acevedo Osorio,5ae88e681864357363fa4192,18/Nov/25 4:13 PM,07/Jan/26 10:19 AM,,,,,,0,,,"We want to simplify as much as possible the stackpacks 2.0 configuration to facilitate the development of stackpacks. the following config items need to be verified (what we need them for) and discussed if we need/want to keep them:

* {{faqs: []}} <=  noop 1.0
* {{releaseStatus}}: Is that really still a thing to use? Or should we at least simplify the enum (there are some pretty quirky values in the enum iirc) <= noop 1.0
* {{integrations}}: Does this make sense for stackpacks 2? Still nobody sees the difference in our UI (I have had to explain it to everyone who joined our team even). We only use it for 1 stackpack afaik anyway. Seems that we at least could hide it completely by making it optional (if it is not already optional), but maybe even better to remove it. <= stays in 1.0
* {{isMultiConfig}}: (not defined here but set in the otel 2 stackpack) I don't think we want to support multi-config for stackpacks 2. Unless we think we require it if/when we move the Kubernetes stackpack to the new setup.
*  Given that {{isMultiConfig}} is not required and we could simplify the stackpacks namespace strategy {{(shared)}} <= stays in 1.0",,Alejandro Acevedo Osorio,Frank van Lankvelt,,,5ae88e681864357363fa4192,5ffe1a6c9edf280075d1b224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b2cbb19,,,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-12-17T16:10:39.442+0100"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitLab"":{""count"":1,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6fs:,,,,,,,,,,,,,,Marvin - Spacks2 & AgentBump 2,Stackpacks 2 - 1,,,,,,,Marvin,,,5.0,,,,,,,,,,2025-12-17 15:12:27.532,,,"17/Dec/25 4:12 PM;5ffe1a6c9edf280075d1b224;a couple of other dubious fields (i.e. it’s not obvious to me they are needed):

* upgradeInstructions
* needWaitingForManualStepsInInstall
* needWaitingForManualStepsInUpgrade
* minSupportedStackStateVersion
* maxSupportedStackStateVersion

While only used for the Kubernetes stackpack, the frontend does deal with multi-config and integrations.",,,,46550,STAC-23383,First StackPack 2.0,In Progress,17/Dec/25 4:08 PM
[Release] Suse Observability Release v2.6.3 Target date 24 November 2025,STAC-23862,49208,User Story,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,High,Done,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,17/Nov/25 2:20 PM,05/Jan/26 12:07 PM,,26/Nov/25 5:46 PM,,suse-observability/2.6.3,,0,,,"[https://docs.google.com/document/d/18Q8d9l1VPphBRowrlkBFkV8TRI0qftDU5EKSURs5PsM/edit?tab=t.0#heading=h.hezu25ak9cf9|https://docs.google.com/document/d/18Q8d9l1VPphBRowrlkBFkV8TRI0qftDU5EKSURs5PsM/edit?tab=t.0#heading=h.hezu25ak9cf9|smart-link] 

*Checklist:*


* _Is it retro-compatible?_
* _Tag used for release is there?_
* _Is that a minor release?_
* _All parts are integrated correctly (e.g., agent and platform)?_
* _Feature Flags & Rollout?_
* _Are there any new features that should be disabled?_
* _Documentation updated?_",,daniel.barra,,,,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,,,,,,,,,,,,,,,,,,STAC-24134,STAC-23666,STAC-23828,STAC-23813,STAC-23437,STAC-23616,STAC-23131,STAC-23757,STAC-23720,STAC-23711,STAC-23490,STAC-23726,STAC-23485,STAC-23823,STAC-23739,STAC-23878,STAC-23856,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@c230463,,,,,"{repository={count=8, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":8,""lastUpdated"":""2025-11-26T12:38:54.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":8,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02uta:y,,,,,,,,,,,,,,Marvin - Spacks2 & AgentBump,,,,,,,,Marvin,,,,,,,,,,,,,,10107_*:*_1_*:*_344267640_*|*_3_*:*_1_*:*_0,,,,,,,,,Done,26/Nov/25 5:46 PM
Verify ACK(alibaba cloud) compatibility with the latest release of the platform,STAC-23844,49153,User Story,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,yash.tripathi,712020:be333e7e-12bf-42a6-8e72-90eef7cda584,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,14/Nov/25 12:16 PM,05/Jan/26 9:42 AM,17/Dec/25 11:07 AM,05/Jan/26 9:42 AM,,,,0,,,"Environment:
ACK Pro: 1.32.7-aliyun.1",,Bram Schuur,,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@17990888,,,,,{},,,,,,,,,,,,,,,,A,1|i02ut3:,,,,,,,,,,,,,,Marvin - Spacks2 & Agent,Marvin - Spacks2 & AgentBump,Marvin - Spacks2 & AgentBump 2,,,,,,Marvin,,,,,,,,,,,,,,10107_*:*_1_*:*_2846876088_*|*_3_*:*_1_*:*_0,,,,,,39750,STAC-22482,QA,Done,05/Jan/26 9:42 AM
